state,attributes.Price Range,business_id,full_address,categories,checkin_count
NC,1,D6sriF-ak-e5D_MTsPc3wg,28134,FastFood,9
NC,2,5p3Tqyp19UowO0-dAFvxMw,28134,Asian,34
NC,1,T1jYZFB_7cqdhuvzpxfFWQ,28134,AllTypes,81
NC,1,LT0AgHTpDifuHSXgyLmJwg,28202,FastFood,59
NC,4,USdRzNk14UdjZWFgBJb0wA,28202,American,14
NC,2,ePP0Eqz8JKSbtdt2phiB4A,28202,American,422
NC,1,ASwN3Ih0Eh1oH0npLbzVjA,28202,American,114
NC,4,Lt9o2RmacVY2L-IWLA8uTg,28202,American,106
NC,1,gpCtDCSXIoQx70cq9itfNA,28202,FastFood,85
NC,2,-6JY1T0w4XETux5kGOj84g,28202,American,189
NC,2,WuCcv_Dyd_1B_1-4jwK7sQ,28202,NightLife,552
NC,2,rT-iPtIXMKj3dTcl87lbOw,28202,Asian,112
NC,1,6eOtk-hsb6uz_5FTsb4tkA,28202,American,16
NC,2,4glD2-evDFddHjQaEVpCPQ,28277,Asian,38
NC,2,ym9QwkmB5ZKTyj7q5huTDw,28202,American,509
NC,1,OkPX0a9PUrhr6oNgE_FB_w,28202,FastFood,19
NC,2,QMX1ssofSveU3qhVAKLnXA,28202,Seafood,17
NC,1,XzhsJecsCYj-Wc32zOWqmg,28202,AllTypes,8
NC,2,9fxTX1uyyYF4ugx68AG2sg,28202,American,41
NC,1,utyqO_IVBAN8ULZmi52XaA,28202,Asian,16
NC,1,9XKIFRBT-UTglX3wBGPAAA,28202,AllTypes,10
NC,1,Heon0PS3J4RGmMa-VflCuA,28202,FastFood,117
NC,2,mpDxBBGywUE6GRRKja3sBA,28202,AllTypes,712
NC,2,6ICGve6UyGPuLaGrKQBVuw,28202,FastFood,28
NC,2,NTfUFk8GyOLL1uPbEO-pVg,28202,American,361
NC,1,_CFgU43jk6pX1cm_Nc1vHw,28202,AllTypes,8
NC,1,e8kqqWU9247Nn5VAF5sDkQ,28202,Italian,73
NC,1,SjsguOTm7kQ_B3QcfHH-3A,28202,American,12
NC,3,z24h6ZYnZiWjlDTuLXG9jw,28202,Italian,91
NC,1,WYnveDiSEXLCeNkLZrXibQ,28202,American,13
NC,2,EwuvZCcVHkICgTbqCEjikA,28202,American,96
NC,2,6SxAOEXHzNjWQMQ9Nnos3A,28202,American,89
NC,2,kAid56AY_laxGYslMdsYJw,28202,Italian,292
NC,3,CChwRoYVXA3QZulS8a6xOQ,28202,American,304
NC,2,t5l-H2KdY4MQgLDMENz9WQ,28202,American,46
NC,3,C9CF7p53Y0L5ErKRhhFhng,28202,American,45
NC,1,-R7uChoaVzwNvPNMT1gOuw,28202,American,36
NC,1,nkNdTqpv1m5GBKx8xrpluw,28211,AllTypes,24
NC,1,LUylwiKNsS7_iumytRgAmw,28211,FastFood,188
NC,3,TLrX4FECQDFz-E45TI_9ow,28202,Seafood,52
NC,2,e5J3s-xxs1S6PPHJhldBEA,28202,American,122
NC,1,DjnNu1sWHEJpNBnW7CSdzA,28202,FastFood,16
NC,1,qqVmZ3H7j06pcJFaSA4pcg,28202,American,31
NC,1,4-B5ou1FbGVjVEQd3FAoIA,28202,FastFood,27
NC,2,PowgfhnMrRKscqecHZdLzQ,28202,NightLife,5
NC,2,376PDtBpGi74Os08TvCkhg,28202,AllTypes,136
NC,4,G5dIek0rXPTHlqlJpCNmpw,28202,American,38
NC,1,v96eOvQGYHukDu_UWqNl4A,28208,AllTypes,18
NC,2,ePogmFFQkAy68Ne0VVUGBg,28202,American,6
NC,2,b856Q36EWKbwbm_XdJER8Q,28277,American,17
NC,2,wpFOZbONc7qUYz6YmBfKuQ,28217,AllTypes,146
NC,3,eaqJQP6bp7rQJQt5KqfvxQ,28202,NightLife,146
NC,2,hBscDTusN57Ai0SnkQK8Sg,28202,AllTypes,173
NC,1,d4t1qlm-mjhBmDUdboq5Uw,28204,FastFood,35
NC,1,CDH2dyRcJUDPM1xj4AD0lQ,28204,AllTypes,29
NC,1,JgGpBGMAb1Nc2Z5jVIwZMA,28204,Asian,9
NC,1,L9D9xHVgCo71ZoO1ZBGOsQ,28204,American,33
NC,3,uDoTFFud2mXE3VT1Jt9L5A,28204,AllTypes,209
NC,1,FRYCe6Yc0rPzzloSWSsl1g,28204,AllTypes,34
NC,2,MQnNtW1lHS-eid3QNUoUIw,28204,Italian,310
NC,1,n2MTry6EWZKwDxxm9-povQ,28204,FastFood,33
NC,2,nuCgH96Tfe6CFXznvmKdhA,28204,Asian,143
NC,2,MMNBgMQCdwyVoNaHg0h_QA,28204,AllTypes,497
NC,1,KT9EiMOGpAgFBwVG4GakNg,28204,Asian,16
NC,1,c9D0yUos-jGOZaUv7SgCFw,28204,FastFood,26
NC,2,oYo5e7TUAYGRdx_0rjohww,28204,AllTypes,33
NC,2,l3mzaesyc90rxXt2d4HpTg,28204,Italian,22
NC,1,8PsQqhrAH5uqJ7HODOmXYg,28204,AllTypes,70
NC,1,cibtubYc6gd8T6Y-nPPByw,28204,Asian,62
NC,1,nhPdxY-jbf-XVQ6Hq6qJPw,28204,American,20
NC,1,G3EsKzy3i-CvrEDjZzTV0g,28204,Asian,51
NC,3,TwwD5FQSe0vk1Ecp89HjEw,28204,American,105
NC,2,jTGQUWGIVvL-aY03C5BEmw,28204,NightLife,416
NC,1,YbqNbrnOEk2T0qIBbTivuQ,28206,AllTypes,50
NC,1,CE6TWiZ1hraCilyXIfxu4w,28206,American,12
NC,1,X7VdashktoAExx5ksEBLXQ,28206,AllTypes,8
NC,1,xLWe6cylMsYl_TtmC9wlXA,28206,FastFood,6
NC,3,OigTHfCur-D8Ne-bV1ngOg,28208,American,3
NC,1,rpq5pRzrVPXt9wKm17LV7Q,28208,American,44
NC,1,X-uPUUV7xPiKivsQzJD-wg,28208,FastFood,55
NC,2,MCFxbw9hQYejyvg59T44TA,28208,Italian,60
NC,1,q52H04woL1Oy1CVrUQu3bg,28208,FastFood,8
NC,2,xopQn_MCE8bSBOyhsj6pVw,28208,Italian,8
NC,1,P4r-LsB1ldgvlgli40Yu-Q,28208,FastFood,42
NC,1,crKd3Kf3YYP8znwoMvcA-g,28208,AllTypes,32
NC,1,tw3wtf5ou5TcuIvidn3cOQ,28208,AllTypes,10
NC,1,M89wkxqAcXuVMtWh91BIjg,28208,AllTypes,51
NC,2,diPvh48CJsNW0hsf9981ZA,28208,American,24
NC,1,1AXQja1QV47FGU0Jp0CSxw,28208,FastFood,85
NC,1,xP-6TN10JA_7C6-V1-JOEQ,28208,American,61
NC,2,6Re0uCzZeFxVUo8R9eqqXw,28208,FastFood,13
NC,1,cpxwd_iFG3Oh1LUMJn0rOQ,28208,AllTypes,106
NC,1,DNr2McGXQLleQkJ0zaCBHQ,28210,Italian,12
NC,1,4kM-mP7z1nP015R2Tlz1Tw,28210,FastFood,58
NC,1,wtUaFgHGHnopdYh5m-a25Q,28210,FastFood,16
NC,2,hIQRiE3UsYH7UsrsDwJwLA,28210,American,308
NC,1,ON-DoD4En7AdUIXVhTG5hg,28210,American,4
NC,1,WkD7OrSIHLzgOQo9wQHu-A,28210,FastFood,158
NC,1,CxGK5_GoIhG9798zYPsvfA,28210,Mexican,139
NC,1,IKUVWL75eSoC71G2fBphmA,28210,Asian,89
NC,2,Y_OeiGhTm6ZEfZ1UQgM_wA,28210,Asian,287
NC,2,hODaBUYzv0AbApej_bfZ-w,28210,American,487
NC,2,4CPrhBc4Ado90fj7PG6jrA,28210,Asian,276
NC,3,1gKBusJMk66ypwEKF0vOAA,28210,American,114
NC,2,s-cFWOk9LXXZCrm4lKpjEg,28210,Asian,128
NC,1,UzMMpUFwJhwUkHOyeXeWsQ,28210,American,295
NC,1,KLYI39LFvsPzS_2-j9qgIA,28210,American,63
NC,3,BOp3jcpYy31M85H1DLnEEw,28210,Seafood,276
NC,2,Lw-01HQDswygHvAZfwkpxA,28210,FastFood,101
NC,1,AvVRPaKoiYl1lrP8Voi0Fw,28212,Italian,9
NC,2,UFvogJEUiLSJwyx2LSz2uQ,28212,NightLife,19
NC,1,90ZdW5Hq-QHKFxLsO3T5FA,28212,AllTypes,6
NC,1,dYW2bONI4ctcpc7d-Wk9Vw,28212,FastFood,3
NC,1,KQqkkg5jaxIbdMIG4MJCIw,28212,American,85
NC,1,AL259yRTSk5jQp6C4tjSiA,28212,Mexican,15
NC,1,3IDt1SaDYwo6QKKV7gsuyQ,28212,Italian,6
NC,1,dvRLvL3naAkkQtlTz0iI-Q,28212,FastFood,13
NC,1,Lom8K4ZK5LIlRe2ZO90s9w,28212,Asian,5
NC,1,CESMPxEWnj42f4nTXV3_yw,28212,American,25
NC,2,F-e-sWfVd3eCYll3BP1QFA,28262,American,861
NC,1,-s-OW4Kr9YY3SBmRdpgFdQ,28212,American,53
NC,1,hS1ShVIy8qLrRv9VXFFcww,28214,FastFood,9
NC,1,p_HFt0I92MHDNPWvdtyEBA,28214,Mexican,149
NC,1,R2Ej1vlJyZ__BOLF1uMqpw,28214,AllTypes,16
NC,2,z4KtKRuuwU6eJAI68ChE-w,28214,Italian,3
NC,1,KpJeQaB0ca6k1-Wdduokqw,28214,FastFood,45
NC,1,QfkktmltWkPW4yZ87198LQ,28214,AllTypes,5
NC,1,0sbPpUIyTpcx90bLRsVx0w,28214,American,26
NC,2,oDEaIbq68RkKu2z_kLeMdw,28214,Asian,4
NC,1,mh1le9QGMrZLohAjfheJJg,28216,FastFood,24
NC,2,7FZ9597M9LhHXGbBD-0VFg,28216,AllTypes,50
NC,1,DPtF2QWAMllTudwSeWBbhA,28216,AllTypes,26
NC,1,5WeccFfcgqpuHJiWegAclw,28216,FastFood,21
NC,1,2iiCazdKZjFYy46FR8iySA,28216,AllTypes,59
NC,1,va9aHf7SEIfKLnvOmeavIw,28216,Asian,21
NC,2,687wG68J1XicP5YzMqKqFQ,28216,AllTypes,60
NC,3,Khv_fiHqB4JcMkzzz7yd7Q,28226,American,53
NC,2,r-pBY6vR_Iu5XhPRvPnquw,28104,American,282
NC,1,t719u5GZY0yPX4U7t5whrg,28226,FastFood,80
NC,1,TEI2iTi3qL3r0yz2Ha5iLQ,28226,FastFood,53
NC,2,c2RzHxH4DQcH4A-a5FpidQ,28226,Italian,25
NC,1,CnQpjJ37QT75YA_OAzqgDw,28226,AllTypes,18
NC,2,IbWfpebkP64zWgc9-ZVtZA,28226,American,84
NC,2,i-tKO0n-1Tq6sTFUrhg9-Q,28226,Asian,144
NC,2,5pa2LaT37MOBBmUr36J-eQ,28226,American,115
NC,1,pvaUE-Cmg6k37GQ-LluOLw,28226,FastFood,69
NC,1,3IQSDaqbnqACADJWlXpRkA,28226,FastFood,67
NC,2,P0aKJw8rb0DKLaGottHEAw,28226,Asian,114
NC,2,4zr5_OOjwTdOEE7d_181RA,28226,Asian,161
NC,2,qam5QKFE2a8MQBkxznrr3w,28226,AllTypes,144
NC,2,DReLu6HuFOm4p-jYZpgQkw,28226,Asian,236
NC,2,i-cEO98lTS10WH30FyKvGA,28226,FastFood,78
NC,1,-9Zy-3vhvOtsY5u2taOfQQ,28210,American,45
NC,1,QoCjVVy4--QNyVRkzQTCEg,28226,Asian,6
NC,2,xLZilmaLXY0r-dBFaiLxww,28226,Asian,100
NC,2,f9WqdqHuZtwg41HDLSKaPA,28226,Asian,77
NC,1,jm2VltGSjXCX6Da27Y-Ndw,28226,Asian,7
NC,1,ukmUw9Lk6JjS6cndXlCj1A,28226,FastFood,11
NC,2,NHIWIA3g7oLZ5gW1tpjf8w,28226,American,157
NC,1,2kz1P9SlJNAndRkXk4bCDA,28226,Mexican,98
NC,1,bffCUYaQ4FejTfu_xFwjyQ,28246,AllTypes,38
NC,2,rg1-6A-8SKXGh_p-Abbyxg,28262,Mexican,144
NC,1,fBX9zO0TYlI05G8Mw5xSBw,28262,FastFood,60
NC,2,GNKcvMI0RyVQyEA4jNQXjQ,28262,Italian,56
NC,2,SgjcjIxsAlVkcrtLaLxtTg,28262,American,101
NC,1,JId-omv3reUpFcL0dhhegQ,28262,FastFood,79
NC,2,UUs667cl2g2SjmWcOYgCVw,28262,FastFood,12
NC,1,hlME5-P2CudNDCUSIX2cxQ,28262,FastFood,114
NC,1,M8CC5_9vEvt1yOI2pnkvKA,28262,FastFood,23
NC,2,CN6AB-R4OLsKxFhQ1Kk68g,28262,AllTypes,163
NC,1,qC21Nl_OUfTr_xf8ZjzOcg,28262,FastFood,101
NC,1,zOY-W35waCcBWDmjX7_MFQ,28262,FastFood,60
NC,2,qZ1bDtcercwUw4w7trpVjQ,28262,American,118
NC,2,98hOHm56D0Boz2LCg0-irg,28262,American,43
NC,1,P9aM91bY6XHOY9ZfaLUYqQ,28262,FastFood,49
NC,2,KxJ5DRcSo83N-GW4f_gMQQ,28262,American,61
NC,1,tuR6sBN9IwyLEg6KiuEXTQ,28262,FastFood,31
NC,2,1PSnPPFVfp03iPfJRPWWQw,28262,Asian,163
NC,1,6SWPWj74qF_pEVgDM3-IpA,28262,FastFood,166
NC,1,rHl7fCXz78i89rEaflTPvw,28262,Asian,58
NC,2,3xdV-7di_YD3MVqs3Pa7-g,28262,FastFood,157
NC,2,hvhogN-3cMny0Nrqbsjpkg,28262,Italian,91
NC,1,7rsMIEq01gE12F7iRdzLEA,28262,FastFood,86
NC,1,_naNO-mZQjTav4iLf5TFmA,28262,FastFood,3
NC,2,UvuUOiP0oIgJ2H_8J6h6Zg,28262,FastFood,17
NC,2,i3HfmM-evIOLpJ2wuTZVKA,28262,American,90
NC,2,RbUCjIvGtgPY_cT6MJYxmQ,28270,American,40
NC,1,xH9zGlw85wE3q5YJ5D230Q,28270,FastFood,7
NC,1,n_t3HHkoR3TXomoBOcVZaQ,28270,FastFood,22
NC,1,3LUpNAPfrbG3jOQgFGfquQ,28270,AllTypes,21
NC,1,ZXl9KGsv-VEoDKCC_08j4A,28270,FastFood,22
NC,1,UzbI1Da7X23bDLwPluj5Qg,28270,Mexican,8
NC,1,NKDeqe-I2dD1MAtumoIyYQ,28270,FastFood,5
NC,1,O6fEzyH0fRP7r8IbSnCgoA,28270,Asian,17
NC,1,-2NCvK5807Nxs9GUb2Eo1g,28270,Italian,26
NC,1,Ylef457BBvxuv7wq-20lkg,28270,Asian,7
NC,1,51Tvv-QOiFeEcELzDuO1fQ,28278,Asian,36
NC,1,AzW6M1E6KcrTDpQ0DkRt9A,28280,FastFood,123
NC,1,iTjwgc3rHS5k3GptqIp2Uw,28282,Mexican,98
NC,1,JmL5yzi5VJjcvzdsk-h7Ig,28027,AllTypes,39
NC,2,BdJxCDS_FG_ICbEKssrLdQ,28027,AllTypes,55
NC,2,iSIOHkFAh5-j9J6VUTDcww,28027,American,70
NC,2,11_Py0PMSwvnok8K9I3AgA,28027,Seafood,248
NC,1,-Z-I5r3zpDSp1RPFr0A41A,28027,FastFood,106
NC,2,uSGhhtOXRfDxq3l-UC0IYQ,28027,Italian,186
NC,2,2DDY0JRc8q8PApPEPF-vGQ,28027,American,98
NC,3,gFwLFAWDBttqqq-6wpvBdw,28027,AllTypes,29
NC,2,DvVSPUhnEnAy3Cm9k12cBw,28027,American,96
NC,2,YWkH80nb-D2wPARF6j7soQ,28025,American,128
NC,2,yGWjaYeSJ9O_LGlQwu3QCQ,28027,American,62
NC,2,T7QTFV33o5r92Ny34a_HxQ,28027,American,68
NC,1,WieJvOCmz-hqfIxdvvvsng,28027,American,38
NC,2,hOcmFy49BErFtufa40Kfdw,28027,Mexican,144
NC,1,_BQ5JOUWDRgBXNylMSVpOw,28075,AllTypes,37
NC,1,f-bsqmSQhOKWpLreDQSWyw,28079,Italian,70
NC,1,YLgdpJH_ggo5e2MVpV44iQ,28079,AllTypes,7
NC,1,FrmxC1eFAlBak9uhf_H24A,28079,American,31
NC,1,0QYucq-OkyThZzGdhONSHw,28079,Asian,5
NC,1,HGBc1DBXYNU1d9suU_7fAQ,28079,FastFood,14
NC,1,GWHU97SS-O8yUvFvANjHaQ,28079,American,32
NC,1,BLh6-Vx-mvp91YqWl9SHiQ,28105,American,20
NC,1,JXAIb_xnWnsbNAzkiTSa7w,28105,FastFood,20
NC,2,BNweK7pzxuuUroi8inU_UQ,28105,Mexican,156
NC,1,-I-UTl6NN6FJOJCcyei0wA,28105,American,76
NC,1,QXN_L3rVNYtCzKiux7rcDg,28105,FastFood,16
NC,1,0FQ8Kj6ZITbN8lrlIZOugA,28105,Mexican,64
NC,2,w40G2sc3pZc9-puovMk97g,28105,Seafood,133
NC,2,9RP4fZf3ZYvwtB4EkbHd4w,28105,Asian,9
NC,2,zCWxbKIX6vFlPIqlZso0Mg,28105,American,61
NC,1,vXE2s1dVvp7r0hK68juugg,28105,Asian,49
NC,1,1OkZfDe0FqTPrvH1EG2knQ,28105,Mexican,35
NC,2,M6546bwsz9XcwP0c71keIQ,28105,FastFood,33
NC,1,Naj_zcvl1jwORIGv-TDbog,28105,American,63
NC,2,mHFzBhhqDKyMRhM_wZI9Lw,28105,American,52
NC,2,11EgWgfvmtToc2lg3DFo4A,28105,American,75
NC,1,IB9lWC8oynRP_glTWIscaA,28105,Italian,10
NC,2,KdSJITuZhQmuQv5NyXpHcg,28105,NightLife,124
NC,1,PLjDXgMqReF1UaY0GsGJtA,28105,Asian,10
NC,2,IgtucoxwDOo5yHV-tqXvRA,28105,Seafood,117
NC,1,kjUmuScUubdQ9xzfvAT8mw,28105,FastFood,70
NC,1,j2vhZd0f9cwVL6AbQPNEng,28105,NightLife,11
NC,1,Wdr_1hlMGB6jtzjyKErMrQ,28105,AllTypes,7
NC,1,e4ARfI4n_TGGS2rTdDrR8g,28105,FastFood,10
NC,1,L0mp-XCQmQTVofyDKRG8mg,28105,FastFood,9
NC,2,Ylc912KiXZkmlxY3b2lC7Q,28105,Seafood,10
NC,1,wxVPOEVd8wCZ7Tp16izkhg,28105,AllTypes,20
NC,2,i9nezIaHCoswCBSLCABkpA,28105,Italian,109
NC,1,G0a9otwjPEhpDIpYvmr7xg,28105,American,19
NC,1,rIySoGqQ4trrrOsagcDB5Q,28105,AllTypes,24
NC,1,j67xKf0ofsDPcQ079ozMbg,28105,American,41
NC,1,wgNl809rE3kToLmriILkkg,28105,American,8
NC,1,tNwqDzmE31YlSQ0eA8e56Q,28105,FastFood,3
NC,1,aQ7UI3BIDR35BxmtahckZA,28105,FastFood,73
NC,1,yvNnNl1DqVRmVuvCBytxuw,28105,FastFood,68
NC,1,dVaJUnxuKCDmkWLednTKtA,28105,Mexican,21
NC,1,XJK9_0zBGjWRXADpQKCgog,28105,FastFood,49
NC,2,1olAT5l8ZiKLVavyWkeElw,28203,Asian,371
NC,2,aRSfth72sJgpSN2P6rm7sQ,28203,NightLife,101
NC,2,gV9IOJ2YFSfTvg_IRjyHAg,28203,FastFood,166
NC,1,_h-wWBfKI_cRnnOB5Bkgag,28203,FastFood,92
NC,2,ROQQk4mCm4_tebvTEGjhEQ,28203,FastFood,482
NC,1,-LHHCgIUZy49sUU4j03T2w,28203,Mexican,373
NC,2,MDvjaN-ygRjaakP3ier8Ww,28203,American,147
NC,1,ZZdCN4JWbON8GyJB5FDs7w,28203,FastFood,37
NC,2,p0IjTgzRuUXKFtdWNFFg6g,28203,American,170
NC,3,wr7ccnf1bTZeHaqYoOyjtA,28203,American,325
NC,2,XiUxS327vVkwWtR2TgpxLw,28269,American,3
NC,1,WUtPI9rJbs7ET1gPhULnDw,28203,AllTypes,222
NC,1,xJX0u3s9AJOUBDpXkt1zMQ,28203,FastFood,179
NC,3,iVTDzzvxHgv6kBSdfCSSoQ,28203,American,254
NC,2,RrN4MxdYvn274w_TCBTTWQ,28203,FastFood,447
NC,2,xmA5ZYJPzt0-Gyim2rynjA,28203,Asian,246
NC,1,GjsA7N1j81TjBt7hT5H4YA,28203,American,130
NC,2,_mrGYF6uScU24LcwshEqCA,28203,AllTypes,135
NC,2,EOu5kwsz9XPyq5r-eWrOFQ,28203,American,322
NC,2,yTz8_GylkgCkuiBjSz8mIQ,28203,American,295
NC,1,c_ZoCRssEFl7cKul3Wzm4Q,28204,American,401
NC,1,G9qXYa0cQsj8Kwg2PXZ3TQ,28203,AllTypes,75
NC,1,N31_Aw9VIOufgH3VtTBUbw,28203,FastFood,154
NC,2,LxCf3sDhSiOWH_xJTQfFkg,28203,Italian,227
NC,2,FTDaFgBzkJBAChfT7OIuUA,28203,Seafood,169
NC,1,IcyboAdccBgNAVtJo4OMQQ,28203,American,56
NC,1,JAlSA6XsscWZEL70JdgFYA,28203,Mexican,134
NC,1,eNYj1h-K66IunsDKa13bUw,28209,FastFood,44
NC,1,z-R68LIoRg9HH73TswMkHA,28205,AllTypes,32
NC,2,n5eQnMnVVt3FfrFENYoU0g,28205,Mexican,1015
NC,1,QJV9AxLMwCV5qYCOpItDqw,28205,FastFood,83
NC,1,ioXu3MhPt_v8f5wTWJX4ag,28205,American,1018
NC,1,pNyqk-HCo3SXPPppi04Bag,28205,AllTypes,542
NC,1,0jye3EpGbU3dFe4yf9pxzQ,28205,Mexican,7
NC,1,yT3OITYWbjqKM15mGNXmyw,28205,American,228
NC,1,d3-h8QpXoQnUlC9nt55HTw,28205,American,301
NC,1,AVQpj1ufPWYBVzEC-fYwYg,28205,FastFood,7
NC,1,24Qlwel3zvrkNX9zMvBJDg,28205,AllTypes,793
NC,2,MGDuAYuyDJd-J-sv0wNoSQ,28205,American,508
NC,1,J4rHIg3Ddd0oXPVrzPN-wA,28205,American,41
NC,1,a2N3J1WJ1vWkqrAXrlB9Og,28205,AllTypes,8
NC,2,NQQ6Kc9NdyrIujz0s0-Ebg,28205,Asian,33
NC,1,WY6YDghPW55gIyp2hTCv_A,28205,AllTypes,19
NC,1,N32s_4NdIsmdnA6oy_t_TQ,28205,FastFood,76
NC,2,vlgMKI-Pi5KCaYqKB0aWIA,28205,American,43
NC,1,Mtp4pMgIP9nXqq1UCJjgAQ,28205,AllTypes,408
NC,1,IY7_UYwQmoyNDQPLPQ-lbQ,28205,AllTypes,26
NC,1,FdBoYwB90oxGrxmSh0Ko7g,28205,AllTypes,34
NC,1,sH2nJMWutcLwqUn23tR7Kg,28205,FastFood,9
NC,1,hJLAPn1w4bGniRR-kdyI-w,28205,AllTypes,270
NC,1,C60h41YGl1W77QOAgOm4MQ,28205,AllTypes,185
NC,1,PVM0CqhA6geX3m6u2VXbpw,28205,AllTypes,66
NC,1,ncYJ3e7Cd0ule7vbFnJBKw,28205,Asian,19
NC,1,-T8O1amt2U6zp06FH-8n9w,28205,American,3
NC,1,fl3zNyk-m_B9NCgIcvJNiQ,28205,FastFood,9
NC,2,iF_Ox8TPLwjqy0WzyWFnmw,28205,Italian,121
NC,2,S1Q57E4J2cmQc9AQqrhbhg,28207,American,114
NC,1,HRIvgh-RmGcaMyz8oT4b3Q,28207,American,3
NC,1,LnR1pj4nLEXNDSbY09Jnng,28207,Asian,42
NC,3,-5As9GrKDboz5N5eA2HRuA,28207,Italian,11
NC,1,IMEB724RormQyKV8PvnvOQ,28207,American,25
NC,1,Gfke1AcTzc2nlVi1rftrTw,28207,FastFood,74
NC,1,YKVNzbuGpgszyG5OuFHU3Q,28207,American,90
NC,2,yzUjuBvj9hDWLN0ZIUYobQ,28207,American,20
NC,2,FiSp-Nqfpz9dHuVLcAEK4A,28207,Italian,27
NC,1,_UYJfg5GbahLiEDU1HuQhQ,28209,FastFood,92
NC,2,t3biB9BlC201XRUNjG28rw,28209,NightLife,251
NC,1,Po3kpjcdRfLgtMUhmoK9Aw,28209,AllTypes,298
NC,1,tNe-WsHegIjEVWKaOpc_mw,28209,FastFood,29
NC,1,9IYAuWhSUjM0Cj3DgH6D-w,28209,American,123
NC,1,kkjdenjeKshv02uma0u2fg,28209,Italian,6
NC,1,nUiGPvsAAAVe90hlQYpVhQ,28209,FastFood,55
NC,2,cPBjZEouopniZq328UmOaA,28209,Italian,87
NC,1,OdNwrZgfPp2Xkj8lEPMJeg,28209,AllTypes,60
NC,1,O49wgZil7BBGpEarvPg23w,28209,Asian,56
NC,1,ZfjB5Df58pT_w8K11xVMaw,28209,FastFood,31
NC,3,9wMVSKNAtQ4HFZjHNlruFw,28209,American,106
NC,1,2qkXCZLumfhvHt2gKluIlA,28209,NightLife,146
NC,1,bAJAg-uRkoGoTfFpy43ZXQ,28209,FastFood,14
NC,1,2dz6psLH_yvejmYaiq0_HA,28209,American,57
NC,2,vwEmnhJjcD8Zgp8K_8pJRA,28209,NightLife,271
NC,1,DfA7H9rpwTXJ_3GOOBqNZg,28209,FastFood,173
NC,1,9l4oJaROYM1OM1bjvmXCCw,28209,American,35
NC,2,toIpqgcjG0HhPHZCMiHH3Q,28209,Italian,182
NC,1,TRW-51US_YQbQ-ihmhHvRw,28209,FastFood,139
NC,2,5gd53htrojGhdbV1jfrU_Q,28209,American,160
NC,2,9Hc15fmqICd2ecpsSM2pIg,28209,Asian,395
NC,1,JbotgsWgGXqJexXd6zB3Vg,28209,American,209
NC,1,c0FVgLLUOh_Wnv9XfQQnlA,28211,FastFood,40
NC,2,t-L8pjvnmd-fzeeHQXMcRg,28211,NightLife,735
NC,2,lC9YZVhQHXHfN9Rkpk8kIA,28211,Asian,58
NC,1,hoR5WtHocyifHM8fxKd1XA,28211,FastFood,75
